timestamp,data_timestamp_raw,asset,mid,bid,ask,source,is_observed,collected_at
2026-01-06T03:35:57+00:00,03:35:57,BTC,93874.221,93869.55,93875.25,dom,1,2026-01-06T03:38:19.393968+00:00
2026-01-06T03:35:58+00:00,03:35:58,BTC,93874.231,93869.54,93875.57,dom,1,2026-01-06T03:38:20.389470+00:00
2026-01-06T03:35:59+00:00,03:35:59,BTC,93873.931,93869.16,93874.89,dom,1,2026-01-06T03:38:21.407284+00:00
2026-01-06T03:36:00+00:00,03:36:00,BTC,93873.611,93868.84,93874.18,dom,1,2026-01-06T03:38:22.426820+00:00
2026-01-06T03:36:01+00:00,03:36:01,BTC,93873.941,93869.25,93874.88,dom,1,2026-01-06T03:38:23.443250+00:00
2026-01-06T03:36:02+00:00,03:36:02,BTC,93874.171,93869.5,93875.61,dom,1,2026-01-06T03:38:24.458941+00:00
2026-01-06T03:36:03+00:00,03:36:03,BTC,93874.071,93869.41,93876.09,dom,1,2026-01-06T03:38:25.446096+00:00
2026-01-06T03:36:04+00:00,03:36:04,BTC,93874.121,93869.41,93876.09,dom,1,2026-01-06T03:38:26.441294+00:00
2026-01-06T03:36:05+00:00,03:36:05,BTC,93874.231,93869.4,93875.63,dom,1,2026-01-06T03:38:27.460600+00:00
2026-01-06T03:36:06+00:00,03:36:06,BTC,93875.041,93870.02,93877.82,dom,1,2026-01-06T03:38:28.476864+00:00
2026-01-06T03:36:07+00:00,03:36:07,BTC,93878.381,93873.09,93883.29,dom,1,2026-01-06T03:38:29.473871+00:00
2026-01-06T03:36:08+00:00,03:36:08,BTC,93886.161,93881.3,93891.1,dom,1,2026-01-06T03:38:30.476880+00:00
2026-01-06T03:36:09+00:00,03:36:09,BTC,93892.111,93888.08,93896.65,dom,1,2026-01-06T03:38:31.457387+00:00
2026-01-06T03:36:10+00:00,03:36:10,BTC,93892.891,93889.1,93897.66,dom,1,2026-01-06T03:38:32.473825+00:00
