timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size
2026-01-06 17:38:18.456000+00:00,2026-01-06 17:38:18.989006+00:00,498.456,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,764.2,45.0,45.0,253.2,0.91,389.9,0.94,77.0,0.06,146.0,0.09,363.9
2026-01-06 17:38:18.878000+00:00,2026-01-06 17:38:19.376102+00:00,498.878,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,240.0,45.0,45.0,263.0,0.91,371.9,0.94,233.0,0.06,233.0,0.09,363.9
2026-01-06 17:38:19.530000+00:00,2026-01-06 17:38:20.013619+00:00,499.53,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,255.0,125.0,125.0,255.0,0.91,805.9,0.94,233.0,0.06,233.0,0.09,705.9
2026-01-06 17:38:19.874000+00:00,2026-01-06 17:38:20.387630+00:00,499.874,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,175.0,125.0,125.0,157.0,0.91,637.9,0.94,233.0,0.06,233.0,0.09,637.9
2026-01-06 17:38:20.523000+00:00,2026-01-06 17:38:21.016115+00:00,500.523,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,155.81,119.0,114.0,155.81,0.91,58.9,0.94,203.0,0.06,603.0,0.09,58.9
2026-01-06 17:38:20.906000+00:00,2026-01-06 17:38:21.412913+00:00,500.906,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,155.81,119.0,119.0,155.81,0.91,50.9,0.94,603.0,0.06,603.0,0.09,50.9
2026-01-06 17:38:21.471000+00:00,2026-01-06 17:38:22.041830+00:00,501.471,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,148.31,85.0,85.0,143.31,0.91,50.9,0.94,586.0,0.06,586.0,0.09,50.9
2026-01-06 17:38:21.947000+00:00,2026-01-06 17:38:22.427244+00:00,501.947,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,143.31,250.65,290.65,143.31,0.91,50.9,0.94,586.0,0.06,657.0,0.09,50.9
2026-01-06 17:38:22.528000+00:00,2026-01-06 17:38:23.028491+00:00,502.528,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,178.31,80.57,99.57,178.31,0.91,25.9,0.94,652.0,0.06,652.0,0.09,25.9
2026-01-06 17:38:22.898000+00:00,2026-01-06 17:38:23.447854+00:00,502.898,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,178.31,74.57,74.57,178.31,0.91,25.9,0.94,652.0,0.06,652.0,0.09,25.9
