timestamp,seconds,mid,bid,ask,asset
2026-01-07 04:06:08+00:00,368.0,3268.711,3268.71,3268.82,ETH
2026-01-07 04:06:09+00:00,369.0,3268.651,3268.55,3268.75,ETH
2026-01-07 04:06:10+00:00,370.0,3268.631,3268.45,3268.69,ETH
2026-01-07 04:06:11+00:00,371.0,3268.621,3268.45,3268.66,ETH
2026-01-07 04:06:12+00:00,372.0,3268.611,3268.46,3268.66,ETH
2026-01-07 04:06:13+00:00,373.0,3268.601,3268.47,3268.65,ETH
2026-01-07 04:06:14+00:00,374.0,3268.451,3268.31,3268.5,ETH
2026-01-07 04:06:15+00:00,375.0,3268.271,3268.14,3268.36,ETH
2026-01-07 04:06:16+00:00,376.0,3268.201,3268.13,3268.33,ETH
2026-01-07 04:06:17+00:00,377.0,3268.251,3268.21,3268.38,ETH
2026-01-07 04:06:18+00:00,378.0,3268.361,3268.31,3268.46,ETH
2026-01-07 04:06:19+00:00,379.0,3268.361,3268.34,3268.45,ETH
2026-01-07 04:06:20+00:00,380.0,3268.391,3268.35,3268.47,ETH
2026-01-07 04:06:21+00:00,381.0,3268.421,3268.38,3268.51,ETH
2026-01-07 04:06:22+00:00,382.0,3268.451,3268.41,3268.51,ETH
2026-01-07 04:06:23+00:00,383.0,3268.471,3268.44,3268.52,ETH
2026-01-07 04:06:24+00:00,384.0,3268.491,3268.45,3268.54,ETH
2026-01-07 04:06:25+00:00,385.0,3268.571,3268.52,3268.74,ETH
2026-01-07 04:06:26+00:00,386.0,3268.581,3268.5,3268.78,ETH
2026-01-07 04:06:27+00:00,387.0,3268.471,3268.39,3268.64,ETH
2026-01-07 04:06:28+00:00,388.0,3268.561,3268.46,3268.76,ETH
2026-01-07 04:06:29+00:00,389.0,3268.681,3268.54,3268.87,ETH
2026-01-07 04:06:30+00:00,390.0,3268.661,3268.54,3268.88,ETH
2026-01-07 04:06:31+00:00,391.0,3268.641,3268.53,3268.7,ETH
2026-01-07 04:06:32+00:00,392.0,3267.881,3267.62,3267.95,ETH
2026-01-07 04:06:33+00:00,393.0,3267.551,3267.47,3267.65,ETH
2026-01-07 04:06:34+00:00,394.0,3267.381,3267.35,3267.61,ETH
2026-01-07 04:06:35+00:00,395.0,3267.121,3267.04,3267.2,ETH
2026-01-07 04:06:36+00:00,396.0,3267.271,3267.19,3267.44,ETH
2026-01-07 04:06:37+00:00,397.0,3267.051,3267.04,3267.3,ETH
2026-01-07 04:06:38+00:00,398.0,3267.051,3267.04,3267.29,ETH
2026-01-07 04:06:39+00:00,399.0,3267.051,3267.02,3267.13,ETH
2026-01-07 04:06:40+00:00,400.0,3267.021,3267.01,3267.06,ETH
2026-01-07 04:06:41+00:00,401.0,3266.951,3266.94,3267.05,ETH
2026-01-07 04:06:42+00:00,402.0,3266.951,3266.94,3267.05,ETH
2026-01-07 04:06:43+00:00,403.0,3266.951,3266.94,3267.03,ETH
2026-01-07 04:06:44+00:00,404.0,3266.961,3266.94,3267.03,ETH
2026-01-07 04:06:45+00:00,405.0,3266.911,3266.9,3267.0,ETH
2026-01-07 04:06:46+00:00,406.0,3266.771,3266.65,3266.82,ETH
2026-01-07 04:06:47+00:00,407.0,3266.561,3266.42,3266.62,ETH
2026-01-07 04:06:48+00:00,408.0,3266.421,3266.39,3266.52,ETH
2026-01-07 04:06:49+00:00,409.0,3266.251,3266.25,3266.43,ETH
2026-01-07 04:06:50+00:00,410.0,3266.131,3266.12,3266.29,ETH
2026-01-07 04:06:51+00:00,411.0,3266.131,3266.12,3266.18,ETH
2026-01-07 04:06:52+00:00,412.0,3266.041,3266.03,3266.06,ETH
2026-01-07 04:06:53+00:00,413.0,3265.951,3265.95,3265.98,ETH
2026-01-07 04:06:54+00:00,414.0,3265.941,3265.93,3265.97,ETH
2026-01-07 04:06:55+00:00,415.0,3265.941,3265.93,3265.97,ETH
2026-01-07 04:06:56+00:00,416.0,3266.201,3266.18,3266.32,ETH
2026-01-07 04:06:57+00:00,417.0,3266.221,3266.21,3266.44,ETH
2026-01-07 04:06:58+00:00,418.0,3266.221,3266.21,3266.46,ETH
2026-01-07 04:06:59+00:00,419.0,3266.221,3266.21,3266.46,ETH
2026-01-07 04:07:00+00:00,420.0,3266.231,3266.22,3266.42,ETH
2026-01-07 04:07:01+00:00,421.0,3266.531,3266.47,3266.58,ETH
2026-01-07 04:07:02+00:00,422.0,3266.481,3266.47,3266.7,ETH
2026-01-07 04:07:03+00:00,423.0,3266.551,3266.54,3266.69,ETH
2026-01-07 04:07:04+00:00,424.0,3266.591,3266.58,3266.73,ETH
2026-01-07 04:07:05+00:00,425.0,3266.691,3266.66,3266.85,ETH
2026-01-07 04:07:06+00:00,426.0,3266.681,3266.63,3266.73,ETH
2026-01-07 04:07:07+00:00,427.0,3266.691,3266.64,3266.81,ETH
2026-01-07 04:07:08+00:00,428.0,3266.691,3266.64,3266.9,ETH
2026-01-07 04:07:09+00:00,429.0,3266.601,3266.57,3266.88,ETH
2026-01-07 04:07:10+00:00,430.0,3266.601,3266.55,3266.64,ETH
2026-01-07 04:07:11+00:00,431.0,3266.501,3266.49,3266.6,ETH
2026-01-07 04:07:12+00:00,432.0,3266.481,3266.47,3266.51,ETH
2026-01-07 04:07:13+00:00,433.0,3266.331,3266.28,3266.38,ETH
2026-01-07 04:07:14+00:00,434.0,3266.371,3266.34,3266.42,ETH
2026-01-07 04:07:15+00:00,435.0,3266.361,3266.34,3266.41,ETH
2026-01-07 04:07:16+00:00,436.0,3266.341,3266.3,3266.39,ETH
2026-01-07 04:07:17+00:00,437.0,3266.281,3266.27,3266.4,ETH
2026-01-07 04:07:18+00:00,438.0,3266.251,3266.25,3266.49,ETH
2026-01-07 04:07:19+00:00,439.0,3266.091,3266.04,3266.2,ETH
2026-01-07 04:07:20+00:00,440.0,3266.091,3266.04,3266.2,ETH
2026-01-07 04:07:21+00:00,441.0,3265.991,3265.96,3266.09,ETH
2026-01-07 04:07:22+00:00,442.0,3265.911,3265.9,3266.0,ETH
2026-01-07 04:07:23+00:00,443.0,3265.901,3265.9,3266.09,ETH
2026-01-07 04:07:24+00:00,444.0,3265.811,3265.79,3265.87,ETH
2026-01-07 04:07:25+00:00,445.0,3265.491,3265.43,3265.56,ETH
2026-01-07 04:07:26+00:00,446.0,3265.371,3265.32,3265.46,ETH
2026-01-07 04:07:27+00:00,447.0,3265.281,3265.23,3265.33,ETH
2026-01-07 04:07:28+00:00,448.0,3265.211,3265.18,3265.25,ETH
2026-01-07 04:07:29+00:00,449.0,3265.211,3265.18,3265.29,ETH
2026-01-07 04:07:30+00:00,450.0,3265.111,3265.1,3265.21,ETH
2026-01-07 04:07:31+00:00,451.0,3265.201,3265.19,3265.23,ETH
2026-01-07 04:07:32+00:00,452.0,3265.061,3265.05,3265.21,ETH
2026-01-07 04:07:33+00:00,453.0,3265.091,3265.05,3265.2,ETH
2026-01-07 04:07:34+00:00,454.0,3265.071,3265.04,3265.21,ETH
2026-01-07 04:07:35+00:00,455.0,3265.201,3265.2,3265.21,ETH
2026-01-07 04:07:36+00:00,456.0,3264.941,3264.93,3265.21,ETH
2026-01-07 04:07:37+00:00,457.0,3264.941,3264.93,3265.21,ETH
2026-01-07 04:07:38+00:00,458.0,3264.921,3264.91,3264.95,ETH
2026-01-07 04:07:39+00:00,459.0,3264.901,3264.85,3264.94,ETH
2026-01-07 04:07:40+00:00,460.0,3264.831,3264.82,3264.9,ETH
