timestamp,timestamp_ms,asset,market_id,up_mid,up_bid,up_ask,down_mid,down_bid,down_ask,is_observed,collected_at
2026-01-06T03:20:47.325000+00:00,1767669647325,XRP,xrp-updown-15m-1767669300,0.25,0.24,0.26,0.75,0.74,0.76,1,2026-01-06 03:20:47.447268+00:00
2026-01-06T03:20:48.361000+00:00,1767669648361,XRP,xrp-updown-15m-1767669300,0.25,0.24,0.26,0.75,0.74,0.76,1,2026-01-06 03:20:48.449240+00:00
2026-01-06T03:20:49.153000+00:00,1767669649153,XRP,xrp-updown-15m-1767669300,0.25,0.24,0.26,0.75,0.74,0.76,1,2026-01-06 03:20:49.465148+00:00
2026-01-06T03:20:50.456000+00:00,1767669650456,XRP,xrp-updown-15m-1767669300,0.25,0.24,0.26,0.75,0.74,0.76,1,2026-01-06 03:20:50.468952+00:00
2026-01-06T03:20:51.470000+00:00,1767669651470,XRP,xrp-updown-15m-1767669300,0.28,0.27,0.29,0.72,0.71,0.73,1,2026-01-06 03:20:51.471400+00:00
2026-01-06T03:20:52.445000+00:00,1767669652445,XRP,xrp-updown-15m-1767669300,0.28,0.27,0.29,0.72,0.71,0.73,1,2026-01-06 03:20:52.458570+00:00
2026-01-06T03:20:53.035000+00:00,1767669653035,XRP,xrp-updown-15m-1767669300,0.28,0.27,0.29,0.72,0.71,0.73,1,2026-01-06 03:20:53.461002+00:00
2026-01-06T03:20:54.466000+00:00,1767669654466,XRP,xrp-updown-15m-1767669300,0.28,0.27,0.29,0.74,0.73,0.75,1,2026-01-06 03:20:54.478177+00:00
2026-01-06T03:20:55.454000+00:00,1767669655454,XRP,xrp-updown-15m-1767669300,0.26,0.25,0.27,0.74,0.73,0.75,1,2026-01-06 03:20:55.480684+00:00
2026-01-06T03:20:56.494000+00:00,1767669656494,XRP,xrp-updown-15m-1767669300,0.27,0.26,0.28,0.74,0.73,0.75,1,2026-01-06 03:20:56.495801+00:00
2026-01-06T03:20:57.471000+00:00,1767669657471,XRP,xrp-updown-15m-1767669300,0.265,0.26,0.27,0.735,0.73,0.74,1,2026-01-06 03:20:57.511344+00:00
2026-01-06T03:20:58.556000+00:00,1767669658556,XRP,xrp-updown-15m-1767669300,0.295,0.29,0.3,0.705,0.7,0.71,1,2026-01-06 03:20:58.566100+00:00
2026-01-06T03:20:59.900000+00:00,1767669659900,XRP,xrp-updown-15m-1767669300,0.33,0.32,0.34,0.67,0.66,0.68,1,2026-01-06 03:20:59.913663+00:00
2026-01-06T03:21:00.915000+00:00,1767669660915,XRP,xrp-updown-15m-1767669300,0.42,0.41,0.43,0.595,0.59,0.6,1,2026-01-06 03:21:00.927609+00:00
2026-01-06T03:21:02.906000+00:00,1767669662906,XRP,xrp-updown-15m-1767669300,0.355,0.35,0.36,0.645,0.64,0.65,1,2026-01-06 03:21:02.931620+00:00
2026-01-06T03:21:03.910000+00:00,1767669663910,XRP,xrp-updown-15m-1767669300,0.375,0.37,0.38,0.625,0.62,0.63,1,2026-01-06 03:21:03.927867+00:00
2026-01-06T03:21:04.926000+00:00,1767669664926,XRP,xrp-updown-15m-1767669300,0.365,0.36,0.37,0.635,0.63,0.64,1,2026-01-06 03:21:04.950060+00:00
2026-01-06T03:21:05.935000+00:00,1767669665935,XRP,xrp-updown-15m-1767669300,0.405,0.4,0.41,0.59,0.58,0.6,1,2026-01-06 03:21:05.950743+00:00
